Comment,Designator,Footprint,LCSC Part #
1.0nF,C19 C20 C21 C22 C67 C68 C69 C70,C0402,
1k,R95 R96,R0402,
8MHz,X1,NX5032,
10k,R85,R0402,
10uF,C37 C38 C39 C41,CASE-A_3216,
10uF,C49 C50 C51 C52 C53 C54 C55 C56,C0805,
10uF,C65 C66,CASE-A_3216,
15k,R9 R10 R11 R12 R41 R42 R43 R44,R0402,
20k,R73 R74 R75 R76 R97 R98 R99 R100,R0402,
22pF,C26 C27,C0402,
22uF,C47 C48,C0805,
47k,R13 R14 R15 R16 R17 R18 R19 R20 R45 R46 R47 R48 R49 R50 R51 R52 R86 R87,R0402,
91k,R1 R3 R5 R7 R33 R35 R37 R39,R0402,
100R,R91 R92 R93 R94,R0402,
100k,R2 R4 R6 R8 R21 R22 R24 R27 R29 R30 R31 R32 R34 R36 R38 R40 R53 R54 R55 R56 R61 R62 R63 R64 R66 R68 R70 R72 R88 R89,R0402,
100nF,C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16 C17 C18 C23 C24 C25 C28 C29 C30 C31 C34 C35 C40 C42 C43 C44 C45 C46 C57 C58 C59 C60 C61 C62 C63 C64,C0402,
120k,R65 R67 R69 R71 R81 R82 R83 R101,R0402,
200k,R77 R78 R79 R80,R0402,
220pF,C32 C33,C0402,
300k,R23 R25 R26 R28 R57 R58 R59 R60,R0402,
470R,R90,R0402,
4051CD4051,IC1,SOIC16N,
AMS1117-3.3,IC2,SOT223,
B5819W,D1 D2,SOD123,
LM4040AIM3-10.0,D3,SOT23,
MCP4822E-SN,U1 U2 U9 U10,SOIC8,
MCP4922E/SL,U5 U6 U13 U14,SO-14,
MCP6002T-I/SN,U3 U4 U11 U12 U17 U18 U19 U20,SOIC8,
STM32F030C8T6,U21,LQFP48,
TL072CD,U7 U8 U15 U16 U22,SOIC8,
