"Designator","Mid X","Mid Y","Layer","Rotation"
"C1","4.13","79.38","Top","90"
"C2","26.67","50.80","Top","180"
"C3","15.24","55.88","Top","180"
"C4","3.18","68.90","Top","180"
"C5","8.89","38.10","Top","180"
"C6","27.94","74.30","Top","0"
"C7","27.62","70.80","Top","0"
"C8","12.70","38.10","Top","0"
"C10","15.24","48.26","Top","180"
"C11","2.86","79.38","Top","270"
"C12","6.99","31.43","Top","180"
"C13","17.78","68.58","Top","0"
"C14","25.91","91.44","Top","90"
"C15","4.45","91.44","Top","270"
"D1","25.35","97.41","Top","0"
"D2","4.72","96.96","Top","0"
"IC1","6.03","73.66","Top","180"
"LED1","23.50","83.82","Top","270"
"LED2","6.50","83.82","Top","90"
"R1","8.89","50.16","Top","0"
"R2","21.59","50.16","Top","180"
"R3","21.59","51.44","Top","0"
"R4","8.89","51.44","Top","180"
"R5","6.67","79.38","Top","270"
"R6","7.94","79.38","Top","270"
"R7","13.02","74.93","Top","180"
"R8","5.40","79.38","Top","270"
"R9","17.14","73.66","Top","180"
"R10","6.35","68.90","Top","0"
"R11","8.57","68.90","Top","180"
"R12","13.02","69.85","Top","180"
"R13","27.30","72.39","Top","180"
"R14","26.67","83.82","Top","90"
"R15","25.40","83.82","Top","270"
"R16","8.89","52.71","Top","0"
"R17","27.30","14.61","Top","90"
"R18","21.59","52.71","Top","180"
"R19","16.51","19.05","Top","180"
"R20","13.97","29.85","Top","90"
"R21","15.88","71.76","Top","0"
"R22","15.88","38.10","Top","180"
"R23","12.38","35.56","Top","0"
"R24","12.70","20.32","Top","0"
"T1","15.56","33.66","Top","90"
"T2","19.69","33.66","Top","90"
"U1","14.85","52.07","Top","270"
"U2","7.23","34.93","Top","270"
"U3","22.23","71.76","Top","270"
"Comment,""Designator"",""Footprint"",""LCSC","Part","#"",""LCSC","Bottom","Part"
